,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,011_825,011_825-01-01-2,80287191,Кресла груши,Кресло-мешок DreamBag Бонджорно XL Стандартное 1002,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",3,,,3.0
1,825,011_825,011_825-01-01-2,80305904,Кресла груши,Кресло-мешок DreamBag Ice Cream XL Стандартное 1243,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",1,,,1.0
2,825,011_825,011_825-01-01-2,80348214,Кресла груши,"Кресло-мешок DreamBag Ждун 2321621, серый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",1,,,1.0
3,825,011_825,011_825-01-01-2,80380942,Кресла груши,Кресло-мешок DreamBag Воздушные шары XL Стандартное 2314,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",1,,,1.0
4,825,011_825,011_825-01-01-2,80394083,Кресла груши,"Кресло-мешок DreamBag L Малое 800008, коричневый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",4,,,4.0
5,825,011_825,011_825-01-01-2,80517328,Пуф 082,"Кресло DreamBag GAP 1222903, коричневый (Antonio)",001 Товар на реализа,35,082,80002233,"ООО ""МВК""",2,,,2.0
6,825,011_825,011_825-01-02-0,80297370,барный стул,"Барный стул BILLY MLM-620041, белый (60-4)/хром",001 Товар на реализа,40,099,80002305,MLM CHINA LTD.,1,,,1.0
7,825,011_825,011_825-01-02-0,80326825,стул ткань,"Стул JERSEY TC-1883, зелёный (78)/чёрный",001 Товар на реализа,40,090,80003289,"TIANJIN DSK INTERNATIONAL CO.,LTD",1,,,1.0
8,825,011_825,011_825-01-02-0,80327782,барный стул,"Барный стул KARIS SKY-9019, серый (JJ12-33/611)/серый",001 Товар на реализа,40,099,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,,1.0
9,825,011_825,011_825-01-02-0,80331749,барный стул,"Барный стул TOPMAX Smiley 26134, чёрный/хром",001 Товар на реализа,40,099,80002253,BESTLUCK ENTERPRISE LIMITED,1,,,1.0
10,825,011_825,011_825-01-02-0,80337546,табурет металл,"Табурет ТП01 ТП02/Ч, чёрный",001 Товар на реализа,40,313,80002893,"ООО ""ДЕКОТЕКС""",1,,,1.0
11,825,011_825,011_825-01-02-0,80343993,барный стул,"Барный стул DARRIUS HDC009, бежевый (FC-05)/коричневый (RU-06)/чёрный матовый",001 Товар на реализа,40,099,80002542,"Tianjin U-Like Intl. Co., Ltd.",1,,,1.0
12,825,011_825,011_825-01-02-0,80405985,барный стул,"Стул Marko СРП-020-02, бежевый (экотекс 3014)/серый",001 Товар на реализа,40,099,80002262,"ООО ""Гипер""",3,,,3.0
13,825,011_825,011_825-01-02-0,80431276,стул ткань,"Стул Skott СРП-008, серый (Maseratti 19)/белый матовый",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",1,,,1.0
14,825,011_825,011_825-01-02-0,80520128,стул ткань,"Стул Vegas AV 454, бежевый (happy 233)/чёрный глянец",001 Товар на реализа,40,090,80002801,"ООО ""Алвест""",2,,,2.0
15,825,011_825,011_825-01-02-0,80521659,стул ткань,"Стул ЛУИ, серый (Vegas 997)/чёрный",001 Товар на реализа,40,090,80002711,"ООО ""Диалог-24""",1,,,1.0
16,825,011_825,011_825-01-02-0,80532080,стул кожзам,"Стул Марко, белый (DO №502)/хром (CH)",001 Товар на реализа,40,090,80003059,"ЗАО ""Жилпромсервис""",2,,,2.0
17,825,011_825,011_825-01-02-1,80285755,стул кожзам,"Стул Hanna СРП-087, серый",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",12,,,12.0
18,825,011_825,011_825-01-02-1,80291023,складной стул_233,"Стул Ella СРП-093-01, белый (классик 550)/серый",001 Товар на реализа,40,233,80002262,"ООО ""Гипер""",7,,,7.0
19,825,011_825,011_825-01-02-1,80359752,стул ткань,"Стул Skott СРП-008, светло-серый/чёрный муар",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",2,,,2.0
20,825,011_825,011_825-01-02-1,80405984,барный стул,"Стул Marko СРП-020-02, серый (экотекс 3022)/серый",001 Товар на реализа,40,099,80002262,"ООО ""Гипер""",3,,,3.0
21,825,011_825,011_825-01-02-1,80435059,барный стул,"Барный стул Adele AV 419, тёмно-серый (Holland H15)/чёрный глянец",001 Товар на реализа,40,099,80002801,"ООО ""Алвест""",1,,,1.0
22,825,011_825,011_825-01-02-2,80280557,Кресла груши,"Кресло-мешок DreamBag XL Стандартное 1046, коричневый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",7,,,7.0
23,825,011_825,011_825-01-02-2,80323886,Кресла груши,"Кресло-мешок DreamBag XL Стандартное 1136, жёлтый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",6,,,6.0
24,825,011_825,011_825-01-03-0,80325025,стул кожзам,"Стул Ontario СРП-048 тн, чёрный (экотекс 3001)/зеркальный хром",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",1,,,1.0
25,825,011_825,011_825-01-03-0,80332090,барный табурет,"Табурет барный Rumba СРП-020-01, чёрный (экотекс 3001)/чёрный",001 Товар на реализа,40,099,80002262,"ООО ""Гипер""",6,,,6.0
26,825,011_825,011_825-01-03-0,80338936,стул кожзам,"Стул Lucy СРП-189, серый (экотекс 3022)/зеркальный хром",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",1,,,1.0
27,825,011_825,011_825-01-03-0,80338937,стул кожзам,"Стул Lucy СРП-189, бежевый (экотекс 3014)/зеркальный хром",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",1,,,1.0
28,825,011_825,011_825-01-03-0,80358901,стул ткань,"Стул Sabina СРП-048 тн, горчичный (велюр 12)/чёрный",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",4,,,4.0
29,825,011_825,011_825-01-03-0,80358903,стул ткань,"Стул Sabina СРП-048 тн, бирюзовый (велюр 22)/чёрный",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",3,,,3.0
30,825,011_825,011_825-01-03-0,80431274,стул ткань,"Стул Sabina СРП-048 тн, пыльно-розовый (Porshe 14)/белый матовый",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",3,,,3.0
31,825,011_825,011_825-01-03-0,80511483,Стул кожзам_225,"Стул с подлокотниками Самба, хром/кремовый (122)/бук (1007)",001 Товар на реализа,39,225,80003059,"ЗАО ""Жилпромсервис""",3,,,3.0
32,825,011_825,011_825-01-03-1,80285754,стул кожзам,"Стул Hanna СРП-087, бежевый (427)/серый",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",5,,,5.0
33,825,011_825,011_825-01-03-1,80299742,стул кожзам,"Стул LOW SDC-427, бежевый (603)/коричневый (640)",001 Товар на реализа,40,090,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,,1.0
34,825,011_825,011_825-01-03-1,80325026,стул кожзам,"Стул Ontario СРП-048 тн, бежевый (экотекс 3014)/зеркальный хром",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",8,,,8.0
35,825,011_825,011_825-01-03-1,80332089,барный табурет,"Табурет барный Rumba СРП-020-01, бежевый (экотекс 3027)/серый (Бриллиант)",001 Товар на реализа,40,099,80002262,"ООО ""Гипер""",1,,,1.0
36,825,011_825,011_825-01-03-1,80342108,стул ткань,"Стул Ontario СРП-048 тн, серый/чёрный",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",4,,,4.0
37,825,011_825,011_825-01-03-1,80435051,барный стул,"Стул полубарный Leni AV 411, белый (201)/чёрный глянец",001 Товар на реализа,40,099,80002801,"ООО ""Алвест""",1,,,1.0
38,825,011_825,011_825-01-03-1,80435057,барный стул,"Барный стул Ostin AV 408, тёмно-серый (Holland H15)/чёрный глянец",001 Товар на реализа,40,099,80002801,"ООО ""Алвест""",1,,,1.0
39,825,011_825,011_825-01-03-2,80280556,Кресла груши,"Кресло-мешок DreamBag XL Стандартное 328304, васильковый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",2,,1.0,1.0
40,825,011_825,011_825-01-03-2,80287189,Кресла груши,Кресло-мешок DreamBag Африка XL Стандартное 1001,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",4,,,4.0
41,825,011_825,011_825-01-03-2,80305902,Кресла груши,Кресло-мешок DreamBag Оранжевое XL Стандартное 328305,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",5,,,5.0
